index,id,Text,Annotation,oh_label
"5,35E+031","5,35E+031","""RT @BeepsS: @senna1 @BeepsS: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.""",sexism,1
"5,76E+031","5,76E+031","""There's some very hate able teams this year #MKR""",none,0
"5,72E+030","5,72E+030","""RT @The_Eccles: ""Everyone underestimated us"" 
We still do, as well as underestimating the judging #MKR""",none,0
"5,72E+031","5,72E+031","""RT @NOTLukeDarcy: did @Channel7 or #MKR actually check if any of these people could cook? #WITB""",none,0
"4,43E+031","4,43E+031","""No, you don't. @Shut_Up_Jeff: I thought of a really funny joke and I promise I'm not sexist but I have to say it.""",sexism,1
"5,35E+031","5,35E+031","""RT @BeepsS: @senna1 @BeepsS: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.""",sexism,1
"5,76E+031","5,76E+031","""There's some very hate able teams this year #MKR""",none,0
"5,72E+030","5,72E+030","""RT @The_Eccles: ""Everyone underestimated us"" 
We still do, as well as underestimating the judging #MKR""",none,0
"5,72E+031","5,72E+031","""RT @NOTLukeDarcy: did @Channel7 or #MKR actually check if any of these people could cook? #WITB""",none,0
"4,43E+031","4,43E+031","""No, you don't. @Shut_Up_Jeff: I thought of a really funny joke and I promise I'm not sexist but I have to say it.""",sexism,1
"5,35E+031","5,35E+031","""RT @BeepsS: @senna1 @BeepsS: I'm not sexist but fuck if you're a woman and you can't Cook get your shit together.""",sexism,1
"5,76E+031","5,76E+031","""There's some very hate able teams this year #MKR""",none,0
"5,72E+030","5,72E+030","""RT @The_Eccles: ""Everyone underestimated us"" 
We still do, as well as underestimating the judging #MKR""",none,0
"5,72E+031","5,72E+031","""RT @NOTLukeDarcy: did @Channel7 or #MKR actually check if any of these people could cook? #WITB""",none,0
"4,43E+031","4,43E+031","""No, you don't. @Shut_Up_Jeff: I thought of a really funny joke and I promise I'm not sexist but I have to say it.""",sexism,1
